date,EMRATIO,UNEMPLOY,JTSJOL,JTS3000JOL,JTS6000JOL,JTU5100JOL,JTU5200JOL
2000-12-01,64.4,5634.0,5088.0,425.0,919.0,130.0,187.0
2001-01-01,64.4,6023.0,5234.0,445.0,842.0,261.0,247.0
2001-02-01,64.3,6089.0,5097.0,420.0,808.0,149.0,212.0
2001-03-01,64.3,6141.0,4762.0,436.0,818.0,128.0,200.0
2001-04-01,64.0,6271.0,4615.0,354.0,708.0,177.0,210.0
2001-05-01,63.8,6226.0,4425.0,327.0,812.0,94.0,197.0
2001-06-01,63.7,6484.0,4361.0,324.0,765.0,90.0,210.0
2001-07-01,63.7,6583.0,4447.0,308.0,804.0,132.0,231.0
2001-08-01,63.2,7042.0,4024.0,266.0,847.0,104.0,179.0
2001-09-01,63.5,7142.0,4071.0,338.0,772.0,65.0,204.0
2001-10-01,63.2,7694.0,3707.0,265.0,758.0,86.0,169.0
2001-11-01,63.0,8003.0,3775.0,230.0,733.0,69.0,139.0
2001-12-01,62.9,8258.0,3677.0,231.0,746.0,83.0,142.0
2002-01-01,62.7,8182.0,3699.0,262.0,756.0,142.0,288.0
2002-02-01,63.0,8215.0,3436.0,261.0,766.0,98.0,128.0
2002-03-01,62.8,8304.0,3612.0,243.0,718.0,91.0,175.0
2002-04-01,62.7,8599.0,3471.0,245.0,702.0,101.0,204.0
2002-05-01,62.9,8399.0,3457.0,239.0,654.0,96.0,147.0
2002-06-01,62.7,8393.0,3412.0,250.0,760.0,56.0,168.0
2002-07-01,62.7,8390.0,3367.0,256.0,689.0,109.0,181.0
2002-08-01,62.7,8304.0,3517.0,231.0,710.0,73.0,154.0
2002-09-01,63.0,8251.0,3301.0,240.0,712.0,66.0,134.0
2002-10-01,62.7,8307.0,3479.0,211.0,657.0,86.0,226.0
2002-11-01,62.5,8520.0,3514.0,228.0,762.0,70.0,171.0
2002-12-01,62.4,8640.0,3169.0,230.0,635.0,51.0,161.0
2003-01-01,62.5,8520.0,3441.0,201.0,640.0,119.0,215.0
2003-02-01,62.5,8618.0,3229.0,191.0,594.0,69.0,129.0
2003-03-01,62.4,8588.0,3099.0,209.0,582.0,78.0,132.0
2003-04-01,62.4,8842.0,3108.0,187.0,611.0,58.0,175.0
2003-05-01,62.3,8957.0,3289.0,196.0,651.0,51.0,157.0
2003-06-01,62.3,9266.0,3390.0,197.0,603.0,59.0,140.0
2003-07-01,62.1,9011.0,2981.0,186.0,540.0,68.0,197.0
2003-08-01,62.1,8896.0,3190.0,220.0,562.0,58.0,181.0
2003-09-01,62.0,8921.0,3091.0,194.0,551.0,97.0,162.0
2003-10-01,62.1,8732.0,3305.0,223.0,612.0,109.0,181.0
2003-11-01,62.3,8576.0,3324.0,242.0,582.0,50.0,156.0
