DATE,Rate_Bachelors
1/1/2000,1.8
2/1/2000,1.6
3/1/2000,1.7
4/1/2000,1.5
5/1/2000,1.6
6/1/2000,1.6
7/1/2000,1.7
8/1/2000,1.9
9/1/2000,1.9
10/1/2000,1.6
11/1/2000,1.5
12/1/2000,1.5
1/1/2001,1.6
2/1/2001,1.6
3/1/2001,2
4/1/2001,2.1
5/1/2001,2.1
6/1/2001,2.2
7/1/2001,2.2
8/1/2001,2.3
9/1/2001,2.5
10/1/2001,2.6
11/1/2001,2.9
12/1/2001,3
1/1/2002,2.9
2/1/2002,2.9
3/1/2002,2.8
4/1/2002,2.9
5/1/2002,2.9
6/1/2002,3
7/1/2002,3
8/1/2002,2.8
9/1/2002,2.9
10/1/2002,3
11/1/2002,2.9
12/1/2002,2.9
1/1/2003,3
2/1/2003,3
3/1/2003,3.1
4/1/2003,3
5/1/2003,3
6/1/2003,3.1
7/1/2003,3.1
8/1/2003,3.2
9/1/2003,3.2
10/1/2003,3.1
11/1/2003,3.1
12/1/2003,3
1/1/2004,2.9
2/1/2004,2.9
3/1/2004,2.9
4/1/2004,2.9
5/1/2004,2.9
6/1/2004,2.7
7/1/2004,2.6
8/1/2004,2.7
9/1/2004,2.6
10/1/2004,2.5
11/1/2004,2.5
12/1/2004,2.5
1/1/2005,2.4
2/1/2005,2.4
3/1/2005,2.4
4/1/2005,2.4
5/1/2005,2.4
6/1/2005,2.3
7/1/2005,2.3
8/1/2005,2.1
9/1/2005,2.3
10/1/2005,2.3
11/1/2005,2.3
12/1/2005,2.1
1/1/2006,2.1
2/1/2006,2.2
3/1/2006,2.2
4/1/2006,2.2
5/1/2006,2.1
6/1/2006,2.1
7/1/2006,2
8/1/2006,1.8
9/1/2006,2.1
10/1/2006,1.9
11/1/2006,1.8
12/1/2006,1.8
1/1/2007,2.1
2/1/2007,1.9
3/1/2007,1.8
4/1/2007,1.9
5/1/2007,2
6/1/2007,2
7/1/2007,2.1
8/1/2007,2.1
9/1/2007,2
10/1/2007,2.1
11/1/2007,2.2
12/1/2007,2.1
1/1/2008,2.1
2/1/2008,2
3/1/2008,2.1
4/1/2008,2.1
5/1/2008,2.2
6/1/2008,2.4
7/1/2008,2.5
8/1/2008,2.8
9/1/2008,2.6
10/1/2008,3.1
11/1/2008,3.2
12/1/2008,3.6
1/1/2009,3.9
2/1/2009,4.1
3/1/2009,4.3
4/1/2009,4.4
5/1/2009,4.8
6/1/2009,4.8
7/1/2009,4.8
8/1/2009,4.8
9/1/2009,5
10/1/2009,4.7
11/1/2009,4.8
12/1/2009,4.9
1/1/2010,4.9
2/1/2010,4.9
3/1/2010,4.9
4/1/2010,4.8
5/1/2010,4.6
6/1/2010,4.4
7/1/2010,4.5
8/1/2010,4.6
9/1/2010,4.5
10/1/2010,4.6
11/1/2010,5
12/1/2010,4.8
1/1/2011,4.3
2/1/2011,4.3
3/1/2011,4.4
4/1/2011,4.5
5/1/2011,4.5
6/1/2011,4.3
7/1/2011,4.2
8/1/2011,4.2
9/1/2011,4.2
10/1/2011,4.3
11/1/2011,4.4
12/1/2011,4.1
1/1/2012,4.3
2/1/2012,4.2
3/1/2012,4.1
4/1/2012,4
5/1/2012,3.9
6/1/2012,4
7/1/2012,4.1
8/1/2012,4.1
9/1/2012,4
10/1/2012,3.7
11/1/2012,3.9
12/1/2012,4
1/1/2013,3.8
2/1/2013,3.9
3/1/2013,3.8
4/1/2013,3.9
5/1/2013,3.9
6/1/2013,3.8
7/1/2013,3.8
8/1/2013,3.4
9/1/2013,3.7
10/1/2013,3.7
11/1/2013,3.4
12/1/2013,3.3
1/1/2014,3.3
2/1/2014,3.4
3/1/2014,3.4
4/1/2014,3.3
5/1/2014,3.2
6/1/2014,3.3
7/1/2014,3.1
8/1/2014,3.2
9/1/2014,2.9
10/1/2014,3
11/1/2014,3.2
12/1/2014,2.8
1/1/2015,2.8
2/1/2015,2.7
3/1/2015,2.4
4/1/2015,2.7
5/1/2015,2.8
6/1/2015,2.5
7/1/2015,2.5
8/1/2015,2.4
9/1/2015,2.5
10/1/2015,2.5
11/1/2015,2.5
12/1/2015,2.5
1/1/2016,2.5
2/1/2016,2.5
3/1/2016,2.6
4/1/2016,2.5
5/1/2016,2.5
6/1/2016,2.5
7/1/2016,2.4
8/1/2016,2.6
9/1/2016,2.5
10/1/2016,2.6
