DATE,Rate_Black
1/1/2000,8.2
2/1/2000,8.1
3/1/2000,7.4
4/1/2000,7
5/1/2000,7.7
6/1/2000,7.8
7/1/2000,7.7
8/1/2000,7.9
9/1/2000,7.3
10/1/2000,7.3
11/1/2000,7.3
12/1/2000,7.4
1/1/2001,8.2
2/1/2001,7.7
3/1/2001,8.3
4/1/2001,8
5/1/2001,7.9
6/1/2001,8.3
7/1/2001,8
8/1/2001,9.1
9/1/2001,8.9
10/1/2001,9.5
11/1/2001,9.8
12/1/2001,10.1
1/1/2002,10
2/1/2002,9.9
3/1/2002,10.5
4/1/2002,10.7
5/1/2002,10.2
6/1/2002,10.5
7/1/2002,9.8
8/1/2002,9.8
9/1/2002,9.7
10/1/2002,9.8
11/1/2002,10.7
12/1/2002,11.3
1/1/2003,10.5
2/1/2003,10.7
3/1/2003,10.3
4/1/2003,10.9
5/1/2003,10.9
6/1/2003,11.5
7/1/2003,10.9
8/1/2003,10.9
9/1/2003,11.1
10/1/2003,11.4
11/1/2003,10.2
12/1/2003,10.1
1/1/2004,10.4
2/1/2004,9.7
3/1/2004,10.3
4/1/2004,9.8
5/1/2004,10.1
6/1/2004,10.2
7/1/2004,11
8/1/2004,10.5
9/1/2004,10.3
10/1/2004,10.8
11/1/2004,10.7
12/1/2004,10.7
1/1/2005,10.6
2/1/2005,10.9
3/1/2005,10.5
4/1/2005,10.3
5/1/2005,10.1
6/1/2005,10.2
7/1/2005,9.2
8/1/2005,9.7
9/1/2005,9.4
10/1/2005,9.1
11/1/2005,10.6
12/1/2005,9.2
1/1/2006,8.9
2/1/2006,9.5
3/1/2006,9.5
4/1/2006,9.4
5/1/2006,8.7
6/1/2006,8.9
7/1/2006,9.5
8/1/2006,8.8
9/1/2006,9
10/1/2006,8.4
11/1/2006,8.5
12/1/2006,8.3
1/1/2007,7.9
2/1/2007,8
3/1/2007,8.4
4/1/2007,8.3
5/1/2007,8.3
6/1/2007,8.5
7/1/2007,8.1
8/1/2007,7.6
9/1/2007,8
10/1/2007,8.5
11/1/2007,8.5
12/1/2007,9
1/1/2008,9.1
2/1/2008,8.4
3/1/2008,9.2
4/1/2008,8.6
5/1/2008,9.6
6/1/2008,9.4
7/1/2008,10
8/1/2008,10.6
9/1/2008,11.3
10/1/2008,11.4
11/1/2008,11.5
12/1/2008,12.1
1/1/2009,12.7
2/1/2009,13.7
3/1/2009,13.7
4/1/2009,15
5/1/2009,15
6/1/2009,14.8
7/1/2009,14.8
8/1/2009,14.8
9/1/2009,15.3
10/1/2009,15.8
11/1/2009,15.7
12/1/2009,16.1
1/1/2010,16.5
