date,UNRATE,M2SL,M1SL,CSUSHPINSA,CIVPART,PSAVERT,CES0500000003,TOTALSA,LNS14000001
2006-03-01,4.7,6761.1,1383.2,182.74900000000002,66.2,4.1,20.04,16.96,4.7
2006-04-01,4.7,6798.5,1381.4,183.648,66.1,3.8,20.16,17.127,4.7
2006-05-01,4.6,6805.2,1387.2,184.38,66.1,3.6,20.13,16.729,4.7
2006-06-01,4.6,6843.2,1375.4,184.547,66.2,3.7,20.22,16.9,4.6
2006-07-01,4.7,6884.6,1372.4,184.607,66.1,3.1,20.3,17.662,4.7
2006-08-01,4.7,6915.4,1372.4,184.40400000000002,66.2,3.3,20.32,16.458,4.7
2006-09-01,4.5,6942.6,1364.4,184.19799999999998,66.1,3.2,20.41,16.974,4.4
2006-10-01,4.4,6991.6,1370.3,184.054,66.2,3.2,20.44,16.865,4.4
2006-11-01,4.5,7026.5,1370.8,183.632,66.3,3.6,20.48,16.657,4.5
2006-12-01,4.4,7069.5,1366.6,183.23,66.4,3.5,20.57,17.107,4.5
2007-01-01,4.6,7107.4,1371.7,182.718,66.4,3.2,20.6,16.896,4.7
2007-02-01,4.5,7123.2,1363.0,182.47099999999998,66.3,3.6,20.68,17.169,4.7
2007-03-01,4.4,7156.9,1366.5,182.19400000000002,66.2,3.9,20.72,16.438,4.5
2007-04-01,4.5,7229.3,1378.0,182.13099999999997,65.9,3.8,20.79,16.615,4.6
2007-05-01,4.4,7243.2,1380.9,181.885,66.0,3.6,20.84,16.661,4.6
2007-06-01,4.6,7276.3,1368.2,181.541,66.0,3.5,20.95,16.179,4.7
2007-07-01,4.7,7306.6,1371.8,180.99400000000003,66.0,3.4,20.95,15.837,4.7
2007-08-01,4.6,7382.8,1376.3,180.236,65.8,3.1,21.0,16.379,4.7
2007-09-01,4.7,7401.1,1375.7,179.123,66.0,3.1,21.04,16.532,4.8
2007-10-01,4.7,7414.8,1379.4,177.53,65.8,3.0,21.06,16.455,4.8
2007-11-01,4.7,7439.6,1371.8,175.16099999999997,66.0,2.8,21.12,16.354,4.8
2007-12-01,5.0,7469.4,1373.4,173.338,66.0,3.2,21.18,16.03,5.1
2008-01-01,5.0,7503.1,1377.7,171.079,66.2,3.2,21.19,15.705,5.2
2008-02-01,4.9,7587.6,1380.4,169.19299999999998,66.0,3.6,21.26,15.491,5.0
2008-03-01,5.1,7653.3,1388.7,167.90599999999998,66.1,3.4,21.36,15.114,5.2
2008-04-01,5.0,7696.1,1391.4,167.325,65.9,2.9,21.38,14.605,5.2
2008-05-01,5.4,7708.3,1393.4,167.02200000000002,66.1,7.3,21.47,14.697,5.6
2008-06-01,5.6,7725.8,1404.6,166.53799999999998,66.1,5.1,21.52,14.377,5.8
2008-07-01,5.8,7772.1,1421.1,165.71400000000003,66.1,4.0,21.59,13.006,6.2
2008-08-01,6.1,7787.0,1407.4,164.278,66.1,3.5,21.7,14.119,6.3
2008-09-01,6.1,7856.5,1462.0,161.91299999999998,66.0,4.3,21.72,12.961,6.7
2008-10-01,6.5,7963.1,1473.8,159.16299999999998,66.0,5.2,21.76,10.933,7.1
2008-11-01,6.8,8013.5,1514.6,156.071,65.9,6.3,21.88,10.526,7.4
2008-12-01,7.3,8189.7,1601.7,152.543,65.8,6.2,21.94,10.383,8.0
2009-01-01,7.8,8271.2,1582.8,149.36,65.7,6.2,21.97,9.786,8.6
2009-02-01,8.3,8300.5,1567.2,147.615,65.8,5.6,21.99,9.223,9.2
2009-03-01,8.7,8366.5,1578.9,146.513,65.6,5.9,22.06,9.748,9.7
2009-04-01,9.0,8369.9,1611.6,146.942,65.7,6.6,22.09,9.379,10.1
2009-05-01,9.4,8427.6,1617.5,148.17,65.7,7.9,22.1,10.176,10.6
2009-06-01,9.5,8437.2,1658.8,149.796,65.7,6.2,22.13,10.149,10.6
2009-07-01,9.5,8442.0,1662.5,150.747,65.5,5.5,22.18,11.566,10.5
2009-08-01,9.6,8441.8,1660.0,150.665,65.4,4.5,22.23,14.754,10.7
2009-09-01,9.8,8441.1,1664.9,149.624,65.1,5.6,22.26,9.535,10.9
2009-10-01,10.0,8468.1,1677.7,148.58100000000002,65.0,5.2,22.3,10.576,11.1
2009-11-01,9.9,8498.2,1683.0,147.936,65.0,5.6,22.36,11.041,11.0
2009-12-01,9.9,8493.1,1692.8,146.66299999999998,64.6,5.6,22.36,11.284,10.9
2010-01-01,9.8,8455.4,1674.7,145.003,64.8,5.9,22.41,10.893,11.0
2010-02-01,9.8,8505.1,1699.8,143.055,64.9,5.6,22.45,10.315,10.9
2010-03-01,9.9,8502.2,1711.9,143.597,64.9,5.6,22.45,11.772,10.9
