DATE,Rate (Latino)
1/1/2000,5.6
2/1/2000,5.7
3/1/2000,6.1
4/1/2000,5.5
5/1/2000,5.8
6/1/2000,5.6
7/1/2000,5.8
8/1/2000,5.9
9/1/2000,5.8
10/1/2000,5.1
11/1/2000,6
12/1/2000,5.7
1/1/2001,5.8
2/1/2001,6.1
3/1/2001,6.2
4/1/2001,6.4
5/1/2001,6.3
6/1/2001,6.6
7/1/2001,6.2
8/1/2001,6.5
9/1/2001,6.7
10/1/2001,7.1
11/1/2001,7.3
12/1/2001,7.7
1/1/2002,7.8
2/1/2002,7
3/1/2002,7.5
4/1/2002,8
5/1/2002,7.1
6/1/2002,7.4
7/1/2002,7.4
8/1/2002,7.5
9/1/2002,7.4
10/1/2002,7.9
11/1/2002,7.8
12/1/2002,7.9
1/1/2003,7.9
2/1/2003,7.7
3/1/2003,7.8
4/1/2003,7.6
5/1/2003,8
6/1/2003,8.3
7/1/2003,8
8/1/2003,7.7
9/1/2003,7.3
10/1/2003,7.5
11/1/2003,7.4
12/1/2003,6.7
1/1/2004,7.3
2/1/2004,7.4
3/1/2004,7.6
4/1/2004,7.1
5/1/2004,6.9
6/1/2004,6.6
7/1/2004,6.8
8/1/2004,6.8
9/1/2004,6.8
10/1/2004,6.8
11/1/2004,6.7
12/1/2004,6.6
1/1/2005,6
2/1/2005,6.3
3/1/2005,5.8
4/1/2005,6.4
5/1/2005,6
6/1/2005,5.7
7/1/2005,5.5
8/1/2005,5.8
9/1/2005,6.4
10/1/2005,6
11/1/2005,6.1
12/1/2005,6.1
1/1/2006,5.5
2/1/2006,5.4
3/1/2006,5.2
4/1/2006,5.5
5/1/2006,5
6/1/2006,5.2
7/1/2006,5.2
8/1/2006,5.3
9/1/2006,5.5
10/1/2006,4.8
11/1/2006,5.1
12/1/2006,5
1/1/2007,5.5
2/1/2007,5.1
3/1/2007,5
4/1/2007,5.6
5/1/2007,5.8
6/1/2007,5.5
7/1/2007,5.9
8/1/2007,5.5
9/1/2007,5.9
10/1/2007,5.7
11/1/2007,5.9
12/1/2007,6.3
1/1/2008,6.3
2/1/2008,6.2
3/1/2008,6.9
4/1/2008,7.1
5/1/2008,6.9
