,DATE,FEDFUNDS,CPI,housing_supply,inflation,interest_rate,labor_participation,M1,treasury_mkt_yield,home_price,personal_saving,UNRATENSA
0,2003-01-01,1.24,182.6,4.0,1.76,2.25,66.4,1227.3,4.05,127.651,5.4,6.5
1,2003-02-01,1.26,183.6,4.5,1.91,2.25,66.4,1238.2,3.9,128.326,5.3,6.4
2,2003-03-01,1.25,183.9,4.1,1.87,2.25,66.3,1239.3,3.81,129.308,5.0,6.2
3,2003-04-01,1.26,183.2,4.1,1.78,2.25,66.4,1250.0,3.96,130.488,5.1,5.8
4,2003-05-01,1.26,182.9,3.9,1.66,2.25,66.4,1268.8,3.57,131.838,5.5,5.8
5,2003-06-01,1.22,183.1,3.5,1.61,2.0,66.5,1281.0,3.33,133.224,5.3,6.5
6,2003-07-01,1.01,183.7,3.6,1.87,2.0,66.2,1287.5,3.98,134.645,6.1,6.3
7,2003-08-01,1.03,184.5,3.5,2.13,2.0,66.1,1296.4,4.45,135.964,5.9,6.0
8,2003-09-01,1.01,185.1,3.8,2.08,2.0,66.1,1297.2,4.27,137.075,5.1,5.8
9,2003-10-01,1.01,184.9,3.8,2.21,2.0,66.1,1297.8,4.29,137.975,5.3,5.6
10,2003-11-01,1.0,185.0,4.1,2.34,2.0,66.1,1299.1,4.3,138.764,5.3,5.6
11,2003-12-01,0.98,185.5,4.0,2.29,2.0,65.9,1306.2,4.27,139.627,5.2,5.4
12,2004-01-01,1.0,186.3,3.8,2.26,2.0,66.1,1306.0,4.15,140.706,4.9,6.3
13,2004-02-01,1.01,186.7,3.7,2.32,2.0,66.0,1321.4,4.08,142.029,4.9,6.0
14,2004-03-01,1.0,187.1,3.6,2.36,2.0,66.0,1328.7,3.83,144.08,4.7,6.0
15,2004-04-01,1.0,187.4,4.0,2.45,2.0,65.9,1332.8,4.35,146.179,5.1,5.4
16,2004-05-01,1.0,188.2,3.8,2.63,2.0,66.0,1333.3,4.72,148.333,5.1,5.3
17,2004-06-01,1.03,188.9,3.9,2.58,2.25,66.1,1342.7,4.73,150.517,5.6,5.8
18,2004-07-01,1.26,189.1,4.5,2.48,2.25,66.1,1340.8,4.5,152.336,5.0,5.7
19,2004-08-01,1.43,189.2,4.3,2.42,2.5,66.0,1354.3,4.28,153.813,5.0,5.4
20,2004-09-01,1.61,189.8,4.1,2.33,2.75,65.8,1362.5,4.13,155.107,4.4,5.1
21,2004-10-01,1.76,190.8,3.9,2.37,2.75,65.9,1362.3,4.1,156.298,4.3,5.1
22,2004-11-01,1.93,191.7,4.3,2.51,3.0,66.0,1374.2,4.19,157.496,3.8,5.2
23,2004-12-01,2.16,191.7,4.1,2.56,3.25,65.9,1376.0,4.23,158.67,6.6,5.1
24,2005-01-01,2.28,191.6,4.4,2.5,3.25,65.8,1367.1,4.22,160.13,3.2,5.7
25,2005-02-01,2.5,192.4,4.3,2.54,3.5,65.9,1371.1,4.17,161.924,2.9,5.8
26,2005-03-01,2.63,193.1,4.1,2.71,3.75,65.9,1370.9,4.5,164.576,3.1,5.4
27,2005-04-01,2.79,193.7,4.3,2.63,3.75,66.1,1358.4,4.34,166.999,2.7,4.9
28,2005-05-01,3.0,193.6,4.2,2.49,4.0,66.1,1366.0,4.14,169.544,3.2,4.9
29,2005-06-01,3.04,193.7,4.3,2.33,4.25,66.1,1380.1,4.0,172.015,2.6,5.2
30,2005-07-01,3.26,194.9,4.2,2.3,4.25,66.1,1369.0,4.18,174.096,2.1,5.2
31,2005-08-01,3.5,196.1,4.5,2.37,4.5,66.2,1377.8,4.26,175.921,2.6,4.9
32,2005-09-01,3.62,198.8,4.7,2.5,4.75,66.1,1378.6,4.2,177.609,2.7,4.8
33,2005-10-01,3.78,199.1,4.5,2.52,4.75,66.1,1376.5,4.46,178.751,2.9,4.6
34,2005-11-01,4.0,198.1,5.0,2.48,5.0,66.0,1376.1,4.54,179.674,3.2,4.8
35,2005-12-01,4.16,198.1,4.9,2.35,5.25,66.0,1374.3,4.47,180.107,3.1,4.6
36,2006-01-01,4.29,199.3,5.3,2.41,5.5,66.0,1379.5,4.42,180.827,3.7,5.1
37,2006-02-01,4.49,199.4,6.1,2.52,5.5,66.1,1378.4,4.57,181.499,3.9,5.1
38,2006-03-01,4.59,199.7,5.9,2.52,5.75,66.2,1383.2,4.72,182.749,4.1,4.8
39,2006-04-01,4.79,200.7,6.3,2.58,5.75,66.1,1381.4,4.99,183.648,3.8,4.5
40,2006-05-01,4.94,201.3,6.2,2.66,6.0,66.1,1387.2,5.11,184.38,3.6,4.4
41,2006-06-01,4.99,201.8,6.3,2.58,6.25,66.2,1375.4,5.11,184.547,3.7,4.8
42,2006-07-01,5.24,202.9,7.3,2.58,6.25,66.1,1372.4,5.09,184.607,3.1,5.0
43,2006-08-01,5.25,203.8,6.7,2.59,6.25,66.2,1372.4,4.88,184.404,3.3,4.6
44,2006-09-01,5.25,202.8,6.7,2.4,6.25,66.1,1364.4,4.72,184.198,3.2,4.4
45,2006-10-01,5.25,201.9,7.3,2.32,6.25,66.2,1370.3,4.73,184.054,3.2,4.1
46,2006-11-01,5.25,202.0,6.6,2.31,6.25,66.3,1370.8,4.6,183.632,3.6,4.3
47,2006-12-01,5.24,203.1,6.5,2.31,6.25,66.4,1366.6,4.56,183.23,3.5,4.3
48,2007-01-01,5.25,203.437,7.2,2.32,6.25,66.4,1371.7,4.76,182.718,3.2,5.0
49,2007-02-01,5.26,204.226,7.9,2.36,6.25,66.3,1363.0,4.72,182.471,3.6,4.9
50,2007-03-01,5.26,205.288,7.9,2.38,6.25,66.2,1366.5,4.56,182.194,3.9,4.5
51,2007-04-01,5.25,205.904,7.4,2.43,6.25,65.9,1378.0,4.69,182.131,3.8,4.3
52,2007-05-01,5.25,206.755,7.8,2.38,6.25,66.0,1380.9,4.75,181.885,3.6,4.3
53,2007-06-01,5.25,207.234,8.2,2.41,6.25,66.0,1368.2,5.1,181.541,3.5,4.7
54,2007-07-01,5.26,207.603,8.3,2.36,6.25,66.0,1371.8,5.0,180.994,3.4,4.9
55,2007-08-01,5.02,207.667,9.2,2.23,5.75,65.8,1376.3,4.67,180.236,3.1,4.6
56,2007-09-01,4.94,208.547,9.2,2.26,5.25,66.0,1375.7,4.52,179.123,3.1,4.5
57,2007-10-01,4.76,209.19,8.5,2.33,5.0,65.8,1379.4,4.53,177.53,3.0,4.4
58,2007-11-01,4.49,210.834,9.4,2.38,5.0,66.0,1371.8,4.15,175.161,2.8,4.5
59,2007-12-01,4.24,211.445,9.6,2.31,4.75,66.0,1373.4,4.1,173.338,3.2,4.8
60,2008-01-01,3.94,212.174,9.3,2.27,3.5,66.2,1377.7,3.74,171.079,3.2,5.4
