,EVENT_ID,STATE,YEAR,MONTH,EVENT_TYPE,EVENT_NARRATIVE
0,254780,NEW HAMPSHIRE,2010,7,Heat,Heat index values at the Nashua Boire Field (KASH) Automated Weather Observing System were 100 to 104 degrees.
1,211550,NEW HAMPSHIRE,2010,1,Heavy Snow,Four to eight inches fell across eastern Hillsborough County.
2,260014,NEW HAMPSHIRE,2010,10,Strong Wind,"In Manchester, firefighters responded to about 50 calls of downed trees and limbs that brought down power lines.  A tree fell onto a horse on a farm on Speare Road in Hudson.  A tree was downed onto a house in Merrimack."
3,254779,NEW HAMPSHIRE,2010,7,Heat,Heat index values at the Manchester Airport (KMHT) Automated Surface Observing System and the Nashua Boire Field (KASH) Automated Weather Observing System were 100 to 104 degrees.
4,273769,NEW HAMPSHIRE,2010,12,Winter Storm,Snowfall totals of 6 to 10 inches were observed in eastern Hillsborough County.
5,215305,NEW HAMPSHIRE,2010,2,High Wind,"The Automated Surface Observing System at Manchester Airport (KMHT) recorded sustained wind speeds of 43 mph and gusts to 63 mph.  The wind downed numerous trees and wires across Bedford.  In addition, a scout camp near Manchester (Camp Carpenter) reported around 200 downed trees on its property.  They also sustained damage to many of their buildings."
6,214918,NEW HAMPSHIRE,2010,2,Heavy Snow,"Five to eight inches of snow fell across eastern Hillsborough County.  Snow began in earnest around the afternoon rush hour.  This resulted in roads that were difficult to plow and thus slippery, resulting in numerous accidents."
7,218778,NEW HAMPSHIRE,2010,3,Strong Wind,"A 42 year old man travelling on Interstate 93 in Manchester was killed when his car was struck by a 70 foot pine tree.  Two passengers, the man's 36 year old wife and 2 year old daughter, were injured and were transported to the hospital.  Saturated soil and strong winds combined, resulting in many downed trees across southern New Hampshire."
8,213816,FLORIDA,2010,1,Flash Flood,"Carnley Road near Century, Florida closed due to high water covering the road."
9,214762,IOWA,2010,3,Flood,No event description
10,215471,IOWA,2010,4,Hail,This storm also produced quarter sized hail on the southwest side of Oelwein.
11,236111,KANSAS,2010,5,Hail,No event description
12,236113,KANSAS,2010,5,Hail,No event description
13,258782,SOUTH CAROLINA,2010,10,Thunderstorm Wind,DOT reported a couple of powerlines and traffic signal light down east northeast of Edgefield on Hwy 378.
14,262255,WYOMING,2010,11,Heavy Snow,SNOTEL 2E of Battle Lake reports snow water equivilent of 1.2 inches. With a 15:1 ratio 20.0 inches of snow fell.
15,262256,WYOMING,2010,11,Heavy Snow,"Sand Lake SNOTEL reports snow water equivilent of 0.90 inches. With a 15:1 ratio, 14.0 inches of snow fell."
16,251248,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was recorded at the Francis Scott Key Bridge.
17,251249,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was reported at the Patapsco Buoy.
18,252840,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts between 34 and 44 knots were reported at Cove Point.
19,252841,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 38 knots were reported at Patuxent River.
20,252842,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 37 knots were reported at Piney Point.
